,gps_height,region,population,public_meeting,permit,construction_age,extraction_type_group,management,payment_type,quality_group,quantity_group,source_type,waterpoint_type_group,status_group
11299,1609,Rukwa,300,TRUE,TRUE,41,gravity,vwc,never pay,good,insufficient,river/lake,communal standpipe,functional
11300,1537,Rukwa,1,TRUE,FALSE,6,submersible,vwc,per bucket,good,insufficient,river/lake,communal standpipe,non functional
11301,383,Tanga,100,TRUE,FALSE,52,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,non functional
11302,-8,Pwani,1,TRUE,TRUE,10,nira/tanira,vwc,per bucket,good,insufficient,shallow well,hand pump,functional
11303,1693,Iringa,30,TRUE,FALSE,26,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
11304,884,Morogoro,32,TRUE,TRUE,33,gravity,wua,monthly,good,enough,river/lake,communal standpipe,non functional
11305,1999,Iringa,0,FALSE,TRUE,28,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
11306,0,Morogoro,630,TRUE,TRUE,16,swn 80,vwc,annually,good,insufficient,shallow well,hand pump,functional
11307,343,Morogoro,300,TRUE,TRUE,17,swn 80,vwc,annually,salty,insufficient,shallow well,hand pump,functional
11308,1366,Arusha,200,TRUE,TRUE,1,submersible,wua,per bucket,good,enough,borehole,communal standpipe,functional
11309,18,Pwani,50,TRUE,FALSE,6,swn 80,vwc,never pay,salty,seasonal,shallow well,hand pump,functional
11310,15,Dar es Salaam,3236,TRUE,FALSE,3,submersible,company,never pay,good,enough,borehole,communal standpipe,non functional
11311,-11,Pwani,3226,FALSE,TRUE,4,mono,private operator,per bucket,good,enough,borehole,communal standpipe,functional
11312,177,Pwani,15,FALSE,TRUE,3,submersible,private operator,per bucket,good,enough,river/lake,communal standpipe,functional
11313,225,Morogoro,600,TRUE,TRUE,33,swn 80,vwc,monthly,good,insufficient,shallow well,hand pump,functional
11314,1830,Rukwa,280,TRUE,FALSE,10,swn 80,vwc,annually,salty,enough,borehole,hand pump,non functional
11315,1478,Arusha,200,TRUE,TRUE,3,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
11316,1609,Iringa,125,TRUE,TRUE,4,gravity,wua,annually,good,enough,river/lake,communal standpipe,functional
11317,171,Tanga,200,TRUE,FALSE,5,gravity,vwc,never pay,good,seasonal,spring,communal standpipe,functional
11318,1841,Iringa,175,TRUE,TRUE,4,gravity,wua,monthly,good,enough,spring,communal standpipe,functional
11319,1018,Kigoma,120,TRUE,TRUE,29,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional needs repair
11320,1704,Iringa,40,TRUE,TRUE,35,gravity,wua,monthly,good,dry,river/lake,communal standpipe,non functional
11321,672,Kilimanjaro,80,TRUE,TRUE,3,gravity,wug,monthly,good,insufficient,spring,communal standpipe,functional needs repair
11322,1705,Arusha,200,TRUE,TRUE,4,gravity,vwc,per bucket,good,enough,river/lake,communal standpipe,functional
11323,1226,Kilimanjaro,75,TRUE,TRUE,3,gravity,vwc,monthly,good,insufficient,spring,communal standpipe,functional
11324,-23,Tanga,150,TRUE,FALSE,4,gravity,vwc,never pay,good,insufficient,borehole,communal standpipe,functional
11325,422,Morogoro,270,TRUE,TRUE,16,swn 80,vwc,monthly,salty,seasonal,shallow well,hand pump,non functional
11326,1305,Iringa,55,TRUE,TRUE,27,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional
11327,271,Pwani,120,TRUE,TRUE,10,submersible,wua,per bucket,good,enough,river/lake,communal standpipe,functional
11328,1410,Kilimanjaro,1,TRUE,TRUE,5,gravity,water board,monthly,good,enough,spring,communal standpipe,functional
11329,1056,Ruvuma,420,TRUE,TRUE,23,gravity,vwc,monthly,good,insufficient,river/lake,communal standpipe,functional
11330,1256,Tanga,1,TRUE,TRUE,41,gravity,vwc,never pay,good,enough,spring,communal standpipe,non functional
11331,702,Manyara,150,TRUE,TRUE,38,gravity,vwc,per bucket,good,insufficient,spring,communal standpipe,functional
11332,417,Morogoro,150,TRUE,TRUE,4,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional
11333,2084,Iringa,0,TRUE,FALSE,10,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
11334,421,Morogoro,100,TRUE,TRUE,5,gravity,vwc,monthly,good,insufficient,river/lake,communal standpipe,non functional
11335,411,Tanga,400,TRUE,FALSE,33,gravity,vwc,never pay,good,insufficient,river/lake,communal standpipe,non functional
11336,1608,Arusha,300,TRUE,TRUE,2,gravity,vwc,on failure,good,insufficient,river/lake,communal standpipe,functional
11337,1048,Kilimanjaro,1,TRUE,TRUE,4,gravity,company,monthly,good,insufficient,spring,communal standpipe,functional
11338,894,Kilimanjaro,150,TRUE,TRUE,3,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
11339,699,Iringa,53,TRUE,FALSE,6,gravity,vwc,on failure,good,enough,river/lake,communal standpipe,functional
11340,1583,Manyara,240,TRUE,TRUE,10,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional
11341,1685,Iringa,120,TRUE,TRUE,35,gravity,wua,monthly,good,seasonal,river/lake,communal standpipe,functional
11342,1334,Kilimanjaro,1,TRUE,TRUE,12,gravity,water board,monthly,good,enough,spring,communal standpipe,functional
11343,847,Tanga,1,TRUE,TRUE,3,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
11344,35,Dar es Salaam,3982,TRUE,FALSE,13,submersible,vwc,never pay,good,enough,borehole,communal standpipe,non functional
11345,471,Tanga,1,TRUE,TRUE,40,gravity,vwc,monthly,good,enough,spring,communal standpipe,non functional
11346,276,Morogoro,150,TRUE,TRUE,32,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,non functional
11347,802,Ruvuma,120,TRUE,TRUE,3,gravity,vwc,monthly,good,dry,river/lake,communal standpipe,non functional
11348,1000,Arusha,100,TRUE,TRUE,13,gravity,vwc,per bucket,good,insufficient,spring,communal standpipe,functional
11349,450,Tanga,100,TRUE,FALSE,38,afridev,vwc,never pay,good,enough,shallow well,hand pump,functional
11350,-31,Pwani,70,TRUE,TRUE,23,submersible,vwc,monthly,good,enough,river/lake,communal standpipe,non functional
11351,1278,Singida,2000,TRUE,FALSE,11,submersible,vwc,per bucket,good,insufficient,borehole,communal standpipe,functional
11352,1333,Arusha,250,TRUE,FALSE,7,gravity,vwc,never pay,good,seasonal,rainwater harvesting,communal standpipe,non functional
11353,2020,Iringa,20,TRUE,TRUE,7,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
11354,1420,Manyara,230,TRUE,TRUE,7,gravity,vwc,never pay,good,seasonal,rainwater harvesting,communal standpipe,non functional
11355,1668,Iringa,55,TRUE,TRUE,4,gravity,wua,annually,good,enough,river/lake,communal standpipe,functional needs repair
11356,1136,Mara,300,TRUE,TRUE,35,gravity,vwc,per bucket,good,enough,river/lake,communal standpipe,non functional
11357,1155,Iringa,1,TRUE,TRUE,24,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
11358,1157,Singida,3500,TRUE,FALSE,5,mono,vwc,per bucket,good,enough,borehole,communal standpipe,functional
11359,1785,Iringa,80,TRUE,FALSE,25,gravity,vwc,annually,good,dry,spring,communal standpipe,non functional
11360,1408,Ruvuma,50,TRUE,TRUE,6,gravity,wug,on failure,good,enough,spring,communal standpipe,functional needs repair
11361,454,Morogoro,200,TRUE,TRUE,3,swn 80,vwc,on failure,good,enough,shallow well,hand pump,non functional
11362,1472,Arusha,150,TRUE,TRUE,11,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
11363,269,Morogoro,100,TRUE,TRUE,11,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional
11364,172,Pwani,1,TRUE,TRUE,8,mono,vwc,per bucket,good,enough,borehole,communal standpipe,functional
11365,778,Ruvuma,200,TRUE,FALSE,12,nira/tanira,wug,annually,good,insufficient,shallow well,hand pump,non functional
11366,825,Kigoma,1230,TRUE,TRUE,3,nira/tanira,vwc,never pay,good,enough,shallow well,hand pump,functional
11367,85,Lindi,567,FALSE,FALSE,3,gravity,wua,per bucket,good,enough,river/lake,communal standpipe,functional
11368,1107,Arusha,150,TRUE,TRUE,10,gravity,water board,per bucket,good,insufficient,river/lake,communal standpipe,functional
11369,315,Mtwara,150,TRUE,TRUE,8,nira/tanira,vwc,per bucket,good,enough,shallow well,hand pump,functional
11370,892,Ruvuma,360,TRUE,FALSE,15,swn 80,wug,monthly,good,insufficient,shallow well,hand pump,functional needs repair
11371,1056,Ruvuma,0,TRUE,TRUE,1,rope pump,vwc,monthly,good,seasonal,shallow well,hand pump,functional
11372,161,Lindi,1,TRUE,FALSE,9,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional needs repair
11373,1458,Kilimanjaro,1,TRUE,TRUE,39,gravity,company,monthly,good,enough,spring,communal standpipe,functional
11374,749,Kilimanjaro,1,TRUE,TRUE,9,submersible,company,monthly,good,enough,borehole,communal standpipe,non functional
11375,566,Tanga,200,TRUE,FALSE,6,submersible,vwc,per bucket,good,enough,river/lake,communal standpipe,non functional
11376,815,Kigoma,120,TRUE,TRUE,4,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional needs repair
11377,1029,Ruvuma,0,TRUE,TRUE,2,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional
11378,469,Morogoro,100,TRUE,TRUE,9,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional needs repair
11379,985,Ruvuma,0,TRUE,TRUE,4,gravity,vwc,never pay,good,dry,river/lake,communal standpipe,non functional
11380,1504,Arusha,300,TRUE,TRUE,19,gravity,vwc,per bucket,good,seasonal,river/lake,communal standpipe,functional
11381,-18,Tanga,200,TRUE,FALSE,47,gravity,vwc,never pay,salty,insufficient,borehole,communal standpipe,non functional
11382,1074,Iringa,0,TRUE,TRUE,23,gravity,wua,annually,good,enough,spring,communal standpipe,functional
11383,50,Tanga,50,FALSE,FALSE,33,submersible,private operator,never pay,salty,enough,borehole,communal standpipe,functional
11384,300,Pwani,20,FALSE,TRUE,4,submersible,private operator,per bucket,good,enough,river/lake,communal standpipe,functional
11385,0,Morogoro,390,TRUE,TRUE,8,nira/tanira,vwc,annually,good,enough,shallow well,hand pump,functional
11386,552,Mtwara,350,TRUE,FALSE,25,submersible,vwc,per bucket,good,insufficient,borehole,communal standpipe,non functional
11387,43,Pwani,6922,TRUE,FALSE,9,submersible,private operator,never pay,good,enough,borehole,communal standpipe,functional
11388,1191,Mara,300,TRUE,TRUE,4,india mark ii,wug,monthly,salty,enough,borehole,hand pump,non functional
11389,759,Rukwa,1,FALSE,FALSE,23,submersible,vwc,never pay,good,enough,river/lake,communal standpipe,non functional
11390,93,Pwani,1,TRUE,TRUE,11,nira/tanira,vwc,never pay,good,insufficient,shallow well,hand pump,non functional
11391,1655,Kilimanjaro,1,TRUE,TRUE,2,gravity,water board,monthly,good,enough,spring,communal standpipe,functional
11392,-26,Dar es Salaam,150,TRUE,FALSE,13,submersible,vwc,per bucket,good,enough,borehole,communal standpipe,functional
11393,2084,Iringa,25,TRUE,FALSE,4,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
11394,1009,Kilimanjaro,30,TRUE,TRUE,6,gravity,water board,per bucket,good,enough,river/lake,communal standpipe,functional
11395,1794,Iringa,110,TRUE,TRUE,4,gravity,wua,monthly,good,enough,spring,communal standpipe,functional
11396,120,Lindi,234,TRUE,FALSE,2,india mark ii,vwc,annually,colored,enough,borehole,hand pump,functional
11397,1743,Tanga,1,TRUE,TRUE,11,gravity,vwc,monthly,good,enough,spring,communal standpipe,non functional
11398,1302,Singida,145,TRUE,TRUE,7,gravity,parastatal,never pay,good,seasonal,rainwater harvesting,communal standpipe,functional needs repair
11399,1620,Manyara,523,TRUE,TRUE,8,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
11400,955,Iringa,1,TRUE,TRUE,21,gravity,wua,annually,good,enough,spring,communal standpipe,functional
11401,1394,Kilimanjaro,60,TRUE,TRUE,5,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional
11402,492,Morogoro,70,TRUE,TRUE,31,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,non functional
11403,790,Kilimanjaro,150,TRUE,TRUE,14,gravity,vwc,monthly,good,insufficient,spring,communal standpipe,functional
11404,2242,Iringa,0,TRUE,TRUE,7,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
11405,1890,Rukwa,0,TRUE,TRUE,27,gravity,vwc,never pay,good,dry,river/lake,communal standpipe,non functional
11406,1013,Kilimanjaro,250,TRUE,TRUE,4,gravity,water board,monthly,good,insufficient,spring,communal standpipe,non functional
11407,1789,Iringa,350,TRUE,FALSE,25,gravity,vwc,annually,good,seasonal,spring,communal standpipe,functional
11408,321,Morogoro,180,TRUE,TRUE,16,gravity,vwc,never pay,good,insufficient,river/lake,communal standpipe,non functional
11409,860,Kilimanjaro,35,TRUE,TRUE,14,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional
11410,1136,Kilimanjaro,1,TRUE,TRUE,10,gravity,water board,monthly,good,enough,spring,communal standpipe,functional
11411,1912,Iringa,200,TRUE,TRUE,4,india mark ii,vwc,never pay,good,enough,borehole,hand pump,non functional
11412,2160,Iringa,18,TRUE,FALSE,10,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
11413,1573,Manyara,322,TRUE,TRUE,4,gravity,vwc,per bucket,good,insufficient,spring,communal standpipe,functional
11414,263,Morogoro,100,TRUE,TRUE,10,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional
11415,411,Morogoro,250,TRUE,TRUE,15,gravity,vwc,per bucket,good,enough,river/lake,communal standpipe,functional
11416,2028,Iringa,20,TRUE,TRUE,29,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
11417,1467,Iringa,113,TRUE,TRUE,35,gravity,wua,monthly,good,enough,river/lake,communal standpipe,functional
11418,712,Kilimanjaro,250,TRUE,TRUE,5,submersible,water board,per bucket,good,enough,borehole,communal standpipe,functional
11419,382,Morogoro,1000,TRUE,TRUE,18,swn 80,vwc,monthly,good,enough,shallow well,hand pump,functional
11420,1231,Kilimanjaro,250,TRUE,TRUE,14,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional
11421,1356,Kilimanjaro,30,TRUE,TRUE,6,gravity,water board,per bucket,good,enough,river/lake,communal standpipe,functional
11422,1156,Iringa,58,TRUE,FALSE,2,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional needs repair
11423,1753,Iringa,1,TRUE,TRUE,21,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
11424,1149,Rukwa,150,FALSE,TRUE,38,gravity,trust,never pay,good,insufficient,spring,communal standpipe,non functional
11425,1397,Iringa,30,TRUE,TRUE,29,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional
11426,1648,Kilimanjaro,1,TRUE,TRUE,14,gravity,water board,monthly,good,enough,spring,communal standpipe,functional
11427,261,Morogoro,140,TRUE,TRUE,42,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,non functional
11428,342,Morogoro,300,TRUE,TRUE,22,swn 80,vwc,never pay,good,dry,shallow well,hand pump,non functional
11429,1434,Arusha,130,TRUE,TRUE,4,submersible,vwc,annually,fluoride,enough,spring,communal standpipe,functional
11430,1544,Arusha,200,TRUE,TRUE,4,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,non functional
11431,1636,Manyara,356,TRUE,TRUE,3,submersible,vwc,per bucket,salty,dry,rainwater harvesting,hand pump,non functional
11432,1522,Singida,240,TRUE,TRUE,18,afridev,wug,annually,good,enough,borehole,hand pump,functional
11433,2353,Iringa,0,TRUE,FALSE,5,gravity,vwc,on failure,good,enough,spring,communal standpipe,functional
11434,1827,Rukwa,450,TRUE,TRUE,31,gravity,vwc,never pay,good,dry,river/lake,communal standpipe,non functional
11435,1396,Tanga,1,TRUE,TRUE,42,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
11436,1357,Kilimanjaro,1,TRUE,TRUE,7,gravity,water board,per bucket,good,enough,spring,communal standpipe,non functional
11437,1730,Rukwa,1,FALSE,TRUE,39,submersible,vwc,never pay,good,enough,spring,communal standpipe,non functional
11438,1405,Singida,800,TRUE,TRUE,5,mono,vwc,per bucket,salty,enough,borehole,communal standpipe,non functional
11439,1393,Iringa,0,TRUE,FALSE,13,india mark ii,wua,annually,good,enough,borehole,hand pump,functional
11440,1938,Iringa,0,TRUE,FALSE,19,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
11441,1179,Kilimanjaro,55,TRUE,TRUE,5,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional
11442,4,Tanga,200,TRUE,FALSE,44,submersible,vwc,never pay,good,insufficient,borehole,communal standpipe,non functional
11443,1255,Kigoma,300,TRUE,TRUE,4,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
11444,1346,Kilimanjaro,1,TRUE,TRUE,11,gravity,parastatal,never pay,good,seasonal,rainwater harvesting,communal standpipe,functional needs repair
11445,1440,Singida,148,TRUE,TRUE,7,gravity,parastatal,never pay,good,seasonal,rainwater harvesting,communal standpipe,functional
11446,1582,Manyara,284,TRUE,TRUE,3,other handpump,vwc,per bucket,salty,insufficient,rainwater harvesting,hand pump,functional
11447,313,Mtwara,1,TRUE,TRUE,21,gravity,vwc,never pay,good,dry,spring,communal standpipe,non functional
11448,1755,Kilimanjaro,1,TRUE,TRUE,3,gravity,wug,monthly,good,enough,spring,communal standpipe,functional
11449,126,Pwani,250,TRUE,FALSE,3,gravity,vwc,per bucket,good,enough,river/lake,communal standpipe,functional
11450,326,Morogoro,1,TRUE,TRUE,41,gravity,vwc,never pay,good,dry,river/lake,communal standpipe,non functional
11451,665,Mtwara,402,TRUE,FALSE,10,submersible,vwc,per bucket,good,insufficient,borehole,communal standpipe,non functional
11452,2,Pwani,25,TRUE,TRUE,12,mono,private operator,never pay,good,enough,river/lake,communal standpipe,functional
11453,696,Kilimanjaro,100,TRUE,TRUE,5,submersible,water board,per bucket,good,enough,borehole,communal standpipe,functional
11454,1677,Iringa,50,TRUE,FALSE,7,gravity,vwc,annually,good,enough,spring,communal standpipe,functional
11455,1028,Kigoma,100,TRUE,TRUE,31,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional
11456,1406,Iringa,650,TRUE,TRUE,28,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
11457,306,Mtwara,1,TRUE,TRUE,31,submersible,vwc,never pay,good,seasonal,borehole,communal standpipe,non functional
11458,786,Kilimanjaro,1,FALSE,TRUE,12,gravity,wua,per bucket,good,enough,spring,communal standpipe,non functional
11459,1642,Iringa,1,TRUE,TRUE,31,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
11460,527,Morogoro,65,TRUE,TRUE,32,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
11461,398,Morogoro,250,TRUE,TRUE,10,submersible,wug,monthly,good,enough,borehole,communal standpipe,functional needs repair
11462,1602,Rukwa,20,TRUE,FALSE,29,india mark ii,vwc,never pay,good,enough,borehole,hand pump,non functional
11463,873,Kilimanjaro,350,TRUE,TRUE,14,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional
11464,1308,Singida,568,TRUE,TRUE,7,submersible,wua,per bucket,good,enough,borehole,communal standpipe,non functional
11465,476,Lindi,250,FALSE,FALSE,20,nira/tanira,wug,per bucket,good,enough,rainwater harvesting,hand pump,functional
11466,1059,Kigoma,450,TRUE,TRUE,13,gravity,water board,monthly,good,enough,river/lake,communal standpipe,functional
11467,1168,Kilimanjaro,1,TRUE,TRUE,38,gravity,company,never pay,good,enough,spring,communal standpipe,non functional
11468,2267,Iringa,20,FALSE,TRUE,4,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
11469,0,Morogoro,1030,TRUE,TRUE,9,swn 80,vwc,never pay,good,insufficient,shallow well,hand pump,non functional
11470,830,Rukwa,230,TRUE,TRUE,5,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional
11471,710,Ruvuma,1,TRUE,FALSE,25,gravity,vwc,annually,good,insufficient,dam,communal standpipe,functional
11472,1458,Iringa,40,TRUE,FALSE,3,nira/tanira,vwc,never pay,good,enough,borehole,hand pump,functional
11473,1504,Singida,250,TRUE,FALSE,20,afridev,vwc,never pay,good,insufficient,shallow well,hand pump,non functional
11474,1204,Singida,595,TRUE,TRUE,4,submersible,wua,per bucket,good,enough,borehole,communal standpipe,non functional
11475,1393,Shinyanga,400,TRUE,FALSE,5,nira/tanira,wug,never pay,good,enough,shallow well,hand pump,functional
11476,1342,Kilimanjaro,50,TRUE,FALSE,6,gravity,wua,monthly,good,insufficient,spring,communal standpipe,functional
11477,0,Tanga,1,TRUE,TRUE,2,nira/tanira,vwc,never pay,good,enough,shallow well,hand pump,functional
11478,1480,Singida,598,TRUE,TRUE,6,gravity,parastatal,never pay,good,seasonal,rainwater harvesting,communal standpipe,functional needs repair
11479,68,Lindi,300,TRUE,TRUE,6,india mark ii,vwc,per bucket,good,enough,borehole,hand pump,functional
11480,1584,Iringa,150,TRUE,TRUE,38,gravity,wua,monthly,good,enough,river/lake,communal standpipe,functional
11481,1660,Iringa,60,TRUE,FALSE,21,gravity,vwc,on failure,good,seasonal,spring,communal standpipe,functional
11482,1287,Tanga,1,TRUE,TRUE,41,gravity,vwc,never pay,good,enough,spring,communal standpipe,non functional
11483,772,Kilimanjaro,5,TRUE,TRUE,15,gravity,water authority,per bucket,good,insufficient,spring,communal standpipe,non functional
11484,1247,Ruvuma,0,TRUE,TRUE,4,gravity,vwc,never pay,good,enough,river/lake,communal standpipe,functional
11485,348,Morogoro,800,TRUE,TRUE,6,nira/tanira,vwc,monthly,good,enough,shallow well,hand pump,functional
11486,68,Pwani,250,TRUE,FALSE,5,submersible,private operator,per bucket,good,enough,borehole,communal standpipe,functional
11487,1769,Manyara,246,TRUE,TRUE,15,other handpump,vwc,never pay,good,enough,borehole,hand pump,functional
11488,1430,Iringa,58,TRUE,TRUE,29,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional
11489,363,Morogoro,600,TRUE,TRUE,6,nira/tanira,vwc,monthly,good,insufficient,shallow well,hand pump,functional
11490,1323,Iringa,1,TRUE,TRUE,26,gravity,vwc,annually,good,dry,spring,communal standpipe,non functional
11491,1216,Manyara,903,TRUE,TRUE,3,nira/tanira,vwc,monthly,good,enough,shallow well,hand pump,functional
11492,737,Morogoro,150,TRUE,TRUE,3,gravity,vwc,monthly,good,enough,river/lake,communal standpipe,functional
11493,1552,Kilimanjaro,50,TRUE,TRUE,5,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
11494,1510,Iringa,90,TRUE,TRUE,35,gravity,wua,monthly,good,enough,river/lake,communal standpipe,functional needs repair
11495,1933,Iringa,120,TRUE,TRUE,10,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional
11496,317,Mtwara,56,TRUE,TRUE,7,submersible,vwc,per bucket,good,dry,borehole,communal standpipe,non functional
11497,705,Kilimanjaro,200,TRUE,TRUE,5,submersible,water board,per bucket,good,enough,borehole,communal standpipe,functional
11498,693,Manyara,150,TRUE,TRUE,38,gravity,vwc,per bucket,good,insufficient,spring,communal standpipe,functional
11499,131,Pwani,1,TRUE,TRUE,8,mono,private operator,never pay,good,enough,borehole,communal standpipe,functional
11500,39,Mtwara,220,TRUE,TRUE,3,submersible,vwc,per bucket,good,insufficient,borehole,communal standpipe,functional
11501,1296,Kigoma,620,TRUE,TRUE,33,gravity,water board,monthly,good,insufficient,river/lake,communal standpipe,functional
11502,244,Mtwara,200,TRUE,TRUE,1,mono,vwc,per bucket,good,enough,borehole,communal standpipe,functional
11503,1745,Iringa,123,TRUE,FALSE,12,gravity,vwc,monthly,good,enough,spring,communal standpipe,functional
11504,1456,Kigoma,520,TRUE,TRUE,25,gravity,water board,monthly,good,insufficient,river/lake,communal standpipe,functional needs repair
11505,1383,Singida,53,TRUE,TRUE,3,india mark ii,wug,never pay,salty,enough,borehole,hand pump,functional
11506,1507,Kilimanjaro,10,TRUE,TRUE,5,gravity,water board,per bucket,good,enough,spring,communal standpipe,functional
11507,1061,Ruvuma,0,TRUE,TRUE,1,india mark ii,vwc,monthly,good,dry,shallow well,hand pump,non functional
11508,1051,Ruvuma,0,TRUE,TRUE,22,india mark ii,vwc,monthly,good,enough,shallow well,hand pump,functional
11509,741,Ruvuma,0,TRUE,TRUE,11,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional
11510,220,Morogoro,300,TRUE,TRUE,10,nira/tanira,vwc,monthly,salty,insufficient,shallow well,hand pump,functional
11511,1749,Iringa,105,TRUE,FALSE,9,gravity,vwc,on failure,good,enough,river/lake,communal standpipe,functional
11512,72,Pwani,1,TRUE,TRUE,37,gravity,vwc,never pay,good,enough,spring,communal standpipe,non functional
11513,1316,Arusha,300,TRUE,TRUE,13,gravity,vwc,per bucket,good,insufficient,river/lake,communal standpipe,functional
11514,1490,Singida,165,TRUE,TRUE,6,submersible,wug,per bucket,good,enough,borehole,communal standpipe,non functional
11515,1242,Kilimanjaro,25,TRUE,TRUE,1,gravity,vwc,annually,good,enough,spring,communal standpipe,functional needs repair
11516,1399,Iringa,75,TRUE,TRUE,3,gravity,wua,on failure,good,enough,river/lake,communal standpipe,functional
11517,1349,Ruvuma,40,TRUE,TRUE,6,gravity,wug,on failure,good,enough,spring,communal standpipe,functional
11518,417,Morogoro,300,TRUE,TRUE,19,swn 80,vwc,never pay,salty,enough,shallow well,hand pump,functional
11519,269,Pwani,800,FALSE,TRUE,8,submersible,parastatal,annually,good,enough,river/lake,communal standpipe,functional
11520,1144,Rukwa,450,TRUE,TRUE,23,india mark ii,vwc,never pay,good,enough,borehole,hand pump,functional
11521,1947,Iringa,150,TRUE,TRUE,10,gravity,vwc,annually,good,enough,river/lake,communal standpipe,functional
11522,1788,Rukwa,50,TRUE,TRUE,41,gravity,vwc,on failure,good,enough,river/lake,communal standpipe,functional
11523,13,Pwani,70,TRUE,FALSE,9,submersible,vwc,per bucket,good,enough,borehole,communal standpipe,non functional
11524,1087,Kigoma,420,TRUE,TRUE,13,gravity,water board,monthly,good,enough,river/lake,communal standpipe,functional
11525,925,Kilimanjaro,64,TRUE,TRUE,41,gravity,water board,monthly,good,insufficient,spring,communal standpipe,functional
11526,914,Ruvuma,420,TRUE,FALSE,18,swn 80,wug,on failure,good,insufficient,shallow well,hand pump,functional
11527,1036,Iringa,30,TRUE,FALSE,5,gravity,vwc,never pay,good,dry,spring,communal standpipe,non functional
11528,350,Morogoro,130,TRUE,TRUE,9,nira/tanira,vwc,never pay,good,enough,shallow well,hand pump,functional
11529,277,Morogoro,150,TRUE,TRUE,29,swn 80,vwc,never pay,good,enough,shallow well,hand pump,non functional
11530,345,Mtwara,2000,TRUE,TRUE,39,mono,company,per bucket,salty,enough,borehole,communal standpipe,functional
11531,1885,Iringa,150,TRUE,TRUE,20,gravity,wua,annually,good,enough,river/lake,communal standpipe,functional
11532,1430,Iringa,1,FALSE,FALSE,39,gravity,vwc,never pay,good,enough,spring,communal standpipe,functional
11533,386,Tanga,686,TRUE,TRUE,3,submersible,vwc,per bucket,good,seasonal,river/lake,communal standpipe,functional
11534,1061,Iringa,0,TRUE,TRUE,23,gravity,wua,annually,good,enough,spring,communal standpipe,functional
11535,719,Kilimanjaro,75,TRUE,TRUE,5,submersible,water board,per bucket,good,enough,borehole,communal standpipe,functional
11536,875,Mtwara,230,TRUE,FALSE,35,submersible,vwc,never pay,good,enough,spring,communal standpipe,non functional
11537,1331,Arusha,380,TRUE,TRUE,7,gravity,vwc,never pay,good,insufficient,spring,communal standpipe,functional
11538,94,Pwani,1,FALSE,TRUE,3,mono,private operator,per bucket,good,insufficient,river/lake,communal standpipe,functional
11539,91,Pwani,1,FALSE,TRUE,9,mono,private operator,per bucket,good,enough,river/lake,communal standpipe,functional
